Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,stream,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
22,F,College,50000,A,81,Medium,8,Law,Private,Low,High,Yes,Medium,Low,High,Negative,Medium,39,Yes,6,Unhealthy,Low,3,Yes,Neutral,,No,Visual,Yes,,Low,2,,B
21,M,,60000,A,,Medium,12,Law,Public,Low,Low,Yes,,High,,Negative,High,75,Yes,5,Healthy,Low,9,No,Negative,No,No,Auditory,Yes,Yes,Medium,5,High,
19,M,College,75000,C,93,Medium,12,Law,Private,Low,Medium,No,Low,Low,High,Positive,Medium,46,No,6,Unhealthy,High,7,No,Neutral,No,Yes,,No,No,Low,2,High,A
21,M,College,60000,A,86,Low,15,Business,Public,Medium,Low,No,High,Medium,Medium,Positive,High,,Yes,5,,High,9,Yes,Neutral,No,,Auditory,Yes,Yes,Low,3,Medium,C
19,,,40000,,89,High,15,Medicine,,Medium,Low,Yes,High,,High,Negative,,41,Yes,4,Unhealthy,Low,9,Yes,Positive,No,No,Auditory,Yes,,Medium,3,High,B
19,M,College,40000,C,82,Medium,14,Law,Private,High,Low,Yes,High,High,Low,Negative,Low,,No,8,Balanced,Medium,,Yes,,No,Yes,Auditory,,No,Low,5,,C
20,,,,A,84,Low,13,Law,Private,High,Medium,No,,High,High,Positive,High,82,,7,Healthy,Low,5,No,Negative,,Yes,,No,No,High,5,Medium,A
21,M,College,40000,,75,Low,5,Business,Public,High,Low,No,,Low,High,Positive,Medium,38,Yes,5,Balanced,High,6,No,Positive,Yes,Yes,Visual,Yes,Yes,High,6,High,A
19,M,High School,75000,C,73,High,10,Law,Public,Low,Low,No,High,Medium,,Positive,High,52,Yes,,Unhealthy,Medium,2,Yes,Neutral,No,No,Auditory,No,Yes,Low,4,High,B
21,F,Graduate,30000,A,81,High,6,Arts,Private,High,Low,Yes,High,Medium,High,Neutral,,41,No,6,,Medium,2,Yes,Negative,No,No,Visual,Yes,Yes,High,2,High,
22,F,High School,75000,C,,Low,9,Engineering,Private,High,Low,No,High,Low,Medium,Neutral,High,,No,5,Unhealthy,High,7,Yes,Neutral,No,Yes,Auditory,No,No,Medium,5,,B
19,F,Graduate,,A,98,Low,9,Business,Private,Low,,No,High,Low,Medium,Negative,High,44,Yes,9,Healthy,Low,4,Yes,Neutral,Yes,Yes,,No,Yes,Medium,2,Low,C
22,F,High School,50000,C,72,High,20,Science,Private,Low,High,No,High,High,High,Positive,High,,No,6,Healthy,Medium,7,Yes,Neutral,Yes,No,Kinesthetic,No,Yes,Low,2,Low,C
21,F,,40000,C,79,Medium,18,Engineering,,High,,Yes,High,Low,,Positive,Medium,47,Yes,7,,Medium,4,Yes,Neutral,No,No,Auditory,Yes,Yes,Medium,6,High,C
,M,Some College,40000,B,82,High,,Medicine,Public,Medium,Medium,Yes,High,High,Medium,,Low,26,No,6,Healthy,Medium,,No,Positive,,,Auditory,No,Yes,Medium,6,Medium,B
20,F,,,A,94,High,10,Law,Private,,High,No,Low,Low,Low,Positive,High,37,No,8,Healthy,Low,5,Yes,Positive,,No,Auditory,No,No,Low,5,Low,A
21,M,College,75000,B,70,Low,9,Engineering,,,Medium,Yes,Low,Low,Medium,Neutral,Low,67,No,7,Healthy,Medium,8,Yes,Positive,Yes,Yes,,No,No,Medium,4,Low,B
21,F,High School,50000,,96,Medium,20,Arts,Private,High,Low,,,Low,High,Neutral,Medium,,No,7,Healthy,,6,Yes,Positive,No,Yes,Auditory,Yes,No,High,6,High,A
20,F,College,50000,A,79,High,20,Business,Private,Medium,High,Yes,Medium,Medium,Low,Positive,Medium,83,Yes,5,Balanced,High,9,No,Negative,No,,Auditory,Yes,Yes,,5,Low,C
19,,Graduate,30000,C,75,High,19,Arts,Public,Medium,Low,,Low,Medium,Medium,Positive,Low,68,No,6,Healthy,Medium,,Yes,Positive,No,Yes,Auditory,No,Yes,Low,6,Medium,B
18,M,Graduate,60000,C,,,,Science,,High,Medium,No,Low,High,High,,Medium,90,No,8,Unhealthy,,7,No,Positive,Yes,Yes,Kinesthetic,No,Yes,High,2,Low,B
19,F,High School,40000,C,71,Low,20,Arts,Public,Medium,High,Yes,,Medium,High,Neutral,High,21,Yes,9,Balanced,Low,7,Yes,Negative,,No,Visual,No,,Medium,3,Low,A
21,M,College,50000,A,98,Low,5,Science,Public,Low,Low,No,Medium,,Low,Neutral,,46,No,9,Unhealthy,High,5,No,Negative,,Yes,Visual,No,Yes,Medium,4,Low,C
21,F,Some College,60000,C,73,High,15,Law,,High,Medium,,Medium,High,Medium,Positive,,96,Yes,8,Balanced,High,6,No,Positive,Yes,No,Visual,No,No,High,,,B
22,F,High School,30000,A,94,High,9,,Private,Medium,,No,Medium,Low,Medium,Negative,High,89,Yes,8,,Low,3,Yes,,No,No,Kinesthetic,No,No,Low,4,High,C
18,,College,60000,,93,Low,16,Medicine,Private,Medium,Medium,No,High,,Medium,Neutral,Low,59,,6,Balanced,,3,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,,6,Medium,C
18,M,College,75000,A,80,Medium,12,Business,Public,Medium,,No,High,,High,Negative,High,82,Yes,5,Balanced,High,8,,Neutral,Yes,No,,No,No,Low,3,Low,A
18,M,Some College,60000,A,91,High,6,,Public,High,Low,No,Medium,High,Medium,Positive,Medium,20,Yes,,Balanced,Medium,9,No,,No,,Visual,Yes,Yes,Low,1,Low,C
22,F,Graduate,40000,A,,Low,8,Medicine,Public,Low,,Yes,Low,Medium,High,Negative,High,,,9,,High,4,No,Negative,Yes,,Visual,Yes,Yes,High,5,High,C
,M,High School,50000,B,96,High,12,Business,Private,High,,Yes,High,Low,High,,Low,87,Yes,8,Healthy,High,4,Yes,Neutral,Yes,Yes,Kinesthetic,Yes,No,High,4,Low,A
18,F,High School,50000,A,99,Low,8,Business,Private,Low,Medium,Yes,High,,High,Negative,High,29,No,9,Unhealthy,Low,7,No,Neutral,Yes,Yes,Visual,No,Yes,High,,High,C
21,F,Graduate,60000,C,81,Low,8,Medicine,Public,Low,Low,Yes,Medium,High,Low,Negative,High,33,No,8,Balanced,Medium,5,Yes,Negative,Yes,Yes,Kinesthetic,No,Yes,High,2,Low,A
18,F,Graduate,,B,77,Low,,Business,Public,Medium,Medium,No,Medium,High,Medium,Neutral,High,35,No,5,Unhealthy,Medium,7,Yes,Neutral,No,No,,No,Yes,,3,Low,C
18,F,Graduate,40000,B,75,,8,Medicine,Public,Medium,Medium,No,Medium,Medium,High,Neutral,Medium,27,Yes,9,Balanced,Low,7,No,Positive,Yes,Yes,Auditory,No,Yes,High,6,Low,A
22,F,College,75000,,82,,19,Arts,Private,High,High,Yes,,Medium,Medium,,Medium,89,Yes,8,Unhealthy,High,5,,Negative,,No,Visual,Yes,Yes,High,3,Medium,C
21,M,High School,75000,,74,Low,15,Science,Private,High,Low,Yes,High,High,High,Neutral,Low,,Yes,6,Balanced,Medium,6,Yes,Neutral,No,Yes,,Yes,No,Low,6,Low,
22,F,Some College,60000,A,96,High,11,Law,Private,Low,Low,,High,Medium,,Positive,Low,32,No,,Balanced,Low,3,No,Negative,No,No,Kinesthetic,Yes,,Medium,6,High,A
18,M,High School,40000,A,92,Low,,Science,Public,Medium,High,Yes,High,Low,Medium,Neutral,Medium,44,Yes,4,Healthy,High,5,No,Positive,,Yes,Visual,Yes,No,Low,2,High,B
19,M,High School,30000,A,84,Low,15,Engineering,Public,Low,Low,No,Low,Medium,Low,Neutral,Medium,21,No,5,Unhealthy,Medium,9,Yes,Negative,Yes,Yes,Auditory,Yes,No,High,,Low,
,F,,60000,B,97,,13,Business,Public,Medium,High,Yes,Low,High,Low,Neutral,Low,37,Yes,5,Balanced,Low,9,No,Neutral,Yes,Yes,Auditory,Yes,Yes,High,4,Low,C
20,M,Some College,75000,C,70,High,5,Engineering,Public,High,High,No,Low,Medium,Medium,Neutral,,25,No,6,Unhealthy,Low,10,Yes,Positive,No,Yes,Auditory,Yes,No,High,5,,C
