Age,Gender,Parental_Education,Family_Income,Previous_Grades,Attendance,Class_Participation,Study_Hours,Major,School_Type,Financial_Status,Parental_Involvement,Educational_Resources,Motivation,Self_Esteem,Stress_Levels,School_Environment,Professor_Quality,Class_Size,Extracurricular_Activities,Sleep_Patterns,Nutrition,Physical_Activity,Screen_Time,Educational_Tech_Use,Peer_Group,Bullying,Study_Space,Learning_Style,Tutoring,Mentoring,Lack_of_Interest,Time_Wasted_on_Social_Media,Sports_Participation,Grades
22.0,F,College,50000.0,A,81.0,Medium,8.0,Law,Private,Low,High,Yes,Medium,Low,High,Negative,Medium,39.0,Yes,6.0,Unhealthy,Low,3.0,Yes,Neutral,,No,Visual,Yes,,Low,2.0,,B
21.0,M,,60000.0,A,,Medium,12.0,Law,Public,Low,Low,Yes,,High,,Negative,High,75.0,Yes,5.0,Healthy,Low,9.0,No,Negative,No,No,Auditory,Yes,Yes,Medium,5.0,High,
19.0,M,College,75000.0,C,93.0,Medium,12.0,Law,Private,Low,Medium,No,Low,Low,High,Positive,Medium,46.0,No,6.0,Unhealthy,High,7.0,No,Neutral,No,Yes,,No,No,Low,2.0,High,A
21.0,M,College,60000.0,A,86.0,Low,15.0,Business,Public,Medium,Low,No,High,Medium,Medium,Positive,High,,Yes,5.0,,High,9.0,Yes,Neutral,No,,Auditory,Yes,Yes,Low,3.0,Medium,C
19.0,,,40000.0,,89.0,High,15.0,Medicine,,Medium,Low,Yes,High,,High,Negative,,41.0,Yes,4.0,Unhealthy,Low,9.0,Yes,Positive,No,No,Auditory,Yes,,Medium,3.0,High,B
19.0,M,College,40000.0,C,82.0,Medium,14.0,Law,Private,High,Low,Yes,High,High,Low,Negative,Low,,No,8.0,Balanced,Medium,,Yes,,No,Yes,Auditory,,No,Low,5.0,,C
20.0,,,,A,84.0,Low,13.0,Law,Private,High,Medium,No,,High,High,Positive,High,82.0,,7.0,Healthy,Low,5.0,No,Negative,,Yes,,No,No,High,5.0,Medium,A
21.0,M,College,40000.0,,75.0,Low,5.0,Business,Public,High,Low,No,,Low,High,Positive,Medium,38.0,Yes,5.0,Balanced,High,6.0,No,Positive,Yes,Yes,Visual,Yes,Yes,High,6.0,High,A
19.0,M,High School,75000.0,C,73.0,High,10.0,Law,Public,Low,Low,No,High,Medium,,Positive,High,52.0,Yes,,Unhealthy,Medium,2.0,Yes,Neutral,No,No,Auditory,No,Yes,Low,4.0,High,B
21.0,F,Graduate,30000.0,A,81.0,High,6.0,Arts,Private,High,Low,Yes,High,Medium,High,Neutral,,41.0,No,6.0,,Medium,2.0,Yes,Negative,No,No,Visual,Yes,Yes,High,2.0,High,
22.0,F,High School,75000.0,C,,Low,9.0,Engineering,Private,High,Low,No,High,Low,Medium,Neutral,High,,No,5.0,Unhealthy,High,7.0,Yes,Neutral,No,Yes,Auditory,No,No,Medium,5.0,,B
19.0,F,Graduate,,A,98.0,Low,9.0,Business,Private,Low,,No,High,Low,Medium,Negative,High,44.0,Yes,9.0,Healthy,Low,4.0,Yes,Neutral,Yes,Yes,,No,Yes,Medium,2.0,Low,C
22.0,F,High School,50000.0,C,72.0,High,20.0,Science,Private,Low,High,No,High,High,High,Positive,High,,No,6.0,Healthy,Medium,7.0,Yes,Neutral,Yes,No,Kinesthetic,No,Yes,Low,2.0,Low,C
21.0,F,,40000.0,C,79.0,Medium,18.0,Engineering,,High,,Yes,High,Low,,Positive,Medium,47.0,Yes,7.0,,Medium,4.0,Yes,Neutral,No,No,Auditory,Yes,Yes,Medium,6.0,High,C
,M,Some College,40000.0,B,82.0,High,,Medicine,Public,Medium,Medium,Yes,High,High,Medium,,Low,26.0,No,6.0,Healthy,Medium,,No,Positive,,,Auditory,No,Yes,Medium,6.0,Medium,B
20.0,F,,,A,94.0,High,10.0,Law,Private,,High,No,Low,Low,Low,Positive,High,37.0,No,8.0,Healthy,Low,5.0,Yes,Positive,,No,Auditory,No,No,Low,5.0,Low,A
21.0,M,College,75000.0,B,70.0,Low,9.0,Engineering,,,Medium,Yes,Low,Low,Medium,Neutral,Low,67.0,No,7.0,Healthy,Medium,8.0,Yes,Positive,Yes,Yes,,No,No,Medium,4.0,Low,B
21.0,F,High School,50000.0,,96.0,Medium,20.0,Arts,Private,High,Low,,,Low,High,Neutral,Medium,,No,7.0,Healthy,,6.0,Yes,Positive,No,Yes,Auditory,Yes,No,High,6.0,High,A
20.0,F,College,50000.0,A,79.0,High,20.0,Business,Private,Medium,High,Yes,Medium,Medium,Low,Positive,Medium,83.0,Yes,5.0,Balanced,High,9.0,No,Negative,No,,Auditory,Yes,Yes,,5.0,Low,C
19.0,,Graduate,30000.0,C,75.0,High,19.0,Arts,Public,Medium,Low,,Low,Medium,Medium,Positive,Low,68.0,No,6.0,Healthy,Medium,,Yes,Positive,No,Yes,Auditory,No,Yes,Low,6.0,Medium,B
18.0,M,Graduate,60000.0,C,,,,Science,,High,Medium,No,Low,High,High,,Medium,90.0,No,8.0,Unhealthy,,7.0,No,Positive,Yes,Yes,Kinesthetic,No,Yes,High,2.0,Low,B
19.0,F,High School,40000.0,C,71.0,Low,20.0,Arts,Public,Medium,High,Yes,,Medium,High,Neutral,High,21.0,Yes,9.0,Balanced,Low,7.0,Yes,Negative,,No,Visual,No,,Medium,3.0,Low,A
21.0,M,College,50000.0,A,98.0,Low,5.0,Science,Public,Low,Low,No,Medium,,Low,Neutral,,46.0,No,9.0,Unhealthy,High,5.0,No,Negative,,Yes,Visual,No,Yes,Medium,4.0,Low,C
21.0,F,Some College,60000.0,C,73.0,High,15.0,Law,,High,Medium,,Medium,High,Medium,Positive,,96.0,Yes,8.0,Balanced,High,6.0,No,Positive,Yes,No,Visual,No,No,High,,,B
22.0,F,High School,30000.0,A,94.0,High,9.0,,Private,Medium,,No,Medium,Low,Medium,Negative,High,89.0,Yes,8.0,,Low,3.0,Yes,,No,No,Kinesthetic,No,No,Low,4.0,High,C
18.0,,College,60000.0,,93.0,Low,16.0,Medicine,Private,Medium,Medium,No,High,,Medium,Neutral,Low,59.0,,6.0,Balanced,,3.0,Yes,Negative,Yes,Yes,Kinesthetic,Yes,No,,6.0,Medium,C
18.0,M,College,75000.0,A,80.0,Medium,12.0,Business,Public,Medium,,No,High,,High,Negative,High,82.0,Yes,5.0,Balanced,High,8.0,,Neutral,Yes,No,,No,No,Low,3.0,Low,A
18.0,M,Some College,60000.0,A,91.0,High,6.0,,Public,High,Low,No,Medium,High,Medium,Positive,Medium,20.0,Yes,,Balanced,Medium,9.0,No,,No,,Visual,Yes,Yes,Low,1.0,Low,C
22.0,F,Graduate,40000.0,A,,Low,8.0,Medicine,Public,Low,,Yes,Low,Medium,High,Negative,High,,,9.0,,High,4.0,No,Negative,Yes,,Visual,Yes,Yes,High,5.0,High,C
,M,High School,50000.0,B,96.0,High,12.0,Business,Private,High,,Yes,High,Low,High,,Low,87.0,Yes,8.0,Healthy,High,4.0,Yes,Neutral,Yes,Yes,Kinesthetic,Yes,No,High,4.0,Low,A
18.0,F,High School,50000.0,A,99.0,Low,8.0,Business,Private,Low,Medium,Yes,High,,High,Negative,High,29.0,No,9.0,Unhealthy,Low,7.0,No,Neutral,Yes,Yes,Visual,No,Yes,High,,High,C
21.0,F,Graduate,60000.0,C,81.0,Low,8.0,Medicine,Public,Low,Low,Yes,Medium,High,Low,Negative,High,33.0,No,8.0,Balanced,Medium,5.0,Yes,Negative,Yes,Yes,Kinesthetic,No,Yes,High,2.0,Low,A
18.0,F,Graduate,,B,77.0,Low,,Business,Public,Medium,Medium,No,Medium,High,Medium,Neutral,High,35.0,No,5.0,Unhealthy,Medium,7.0,Yes,Neutral,No,No,,No,Yes,,3.0,Low,C
18.0,F,Graduate,40000.0,B,75.0,,8.0,Medicine,Public,Medium,Medium,No,Medium,Medium,High,Neutral,Medium,27.0,Yes,9.0,Balanced,Low,7.0,No,Positive,Yes,Yes,Auditory,No,Yes,High,6.0,Low,A
22.0,F,College,75000.0,,82.0,,19.0,Arts,Private,High,High,Yes,,Medium,Medium,,Medium,89.0,Yes,8.0,Unhealthy,High,5.0,,Negative,,No,Visual,Yes,Yes,High,3.0,Medium,C
21.0,M,High School,75000.0,,74.0,Low,15.0,Science,Private,High,Low,Yes,High,High,High,Neutral,Low,,Yes,6.0,Balanced,Medium,6.0,Yes,Neutral,No,Yes,,Yes,No,Low,6.0,Low,
22.0,F,Some College,60000.0,A,96.0,High,11.0,Law,Private,Low,Low,,High,Medium,,Positive,Low,32.0,No,,Balanced,Low,3.0,No,Negative,No,No,Kinesthetic,Yes,,Medium,6.0,High,A
18.0,M,High School,40000.0,A,92.0,Low,,Science,Public,Medium,High,Yes,High,Low,Medium,Neutral,Medium,44.0,Yes,4.0,Healthy,High,5.0,No,Positive,,Yes,Visual,Yes,No,Low,2.0,High,B
19.0,M,High School,30000.0,A,84.0,Low,15.0,Engineering,Public,Low,Low,No,Low,Medium,Low,Neutral,Medium,21.0,No,5.0,Unhealthy,Medium,9.0,Yes,Negative,Yes,Yes,Auditory,Yes,No,High,,Low,
,F,,60000.0,B,97.0,,13.0,Business,Public,Medium,High,Yes,Low,High,Low,Neutral,Low,37.0,Yes,5.0,Balanced,Low,9.0,No,Neutral,Yes,Yes,Auditory,Yes,Yes,High,4.0,Low,C
20.0,M,Some College,75000.0,C,70.0,High,5.0,Engineering,Public,High,High,No,Low,Medium,Medium,Neutral,,25.0,No,6.0,Unhealthy,Low,10.0,Yes,Positive,No,Yes,Auditory,Yes,No,High,5.0,,C
20.0,M,High School,40000.0,A,,Medium,11.0,,Public,,Low,No,Medium,High,High,Negative,Medium,65.0,Yes,7.0,Balanced,Low,9.0,No,Negative,No,No,Auditory,,No,High,6.0,Medium,C
19.0,F,College,30000.0,A,98.0,Low,,Business,Private,High,Medium,No,High,Medium,Low,,High,67.0,Yes,7.0,Balanced,Medium,2.0,Yes,,No,Yes,Visual,Yes,Yes,Low,1.0,High,B
18.0,F,Graduate,60000.0,,,Medium,6.0,Law,Private,High,High,Yes,,High,,Negative,Low,63.0,Yes,9.0,Healthy,High,7.0,Yes,Negative,No,No,Visual,No,Yes,Medium,3.0,Medium,A
,M,Graduate,50000.0,,91.0,Medium,13.0,Medicine,Public,High,,No,,Medium,Low,Neutral,High,48.0,,,Unhealthy,Low,8.0,Yes,Neutral,No,No,Kinesthetic,No,Yes,Low,2.0,Low,A
22.0,F,High School,60000.0,,70.0,High,9.0,Engineering,Public,High,Low,No,,Low,Medium,Neutral,High,53.0,No,9.0,Unhealthy,Medium,5.0,No,Neutral,Yes,No,Auditory,Yes,,Low,1.0,Medium,C
21.0,F,,50000.0,B,93.0,Medium,13.0,Science,Public,Medium,High,No,Low,Medium,,,High,67.0,No,,Healthy,Medium,6.0,Yes,Neutral,No,No,Auditory,Yes,Yes,Low,4.0,Medium,
19.0,F,Some College,60000.0,A,93.0,Medium,16.0,,Public,Low,Low,Yes,Medium,Low,High,Negative,Medium,93.0,No,6.0,Balanced,Medium,3.0,No,Positive,No,Yes,Auditory,No,No,,5.0,High,C
19.0,F,Graduate,30000.0,C,84.0,Low,8.0,Arts,Public,Medium,,,Low,Medium,Medium,Positive,Medium,67.0,No,8.0,Balanced,Medium,4.0,No,,Yes,Yes,Auditory,No,No,High,4.0,High,A
22.0,F,,50000.0,A,,High,19.0,Engineering,Public,,High,No,High,Low,Low,Neutral,Medium,39.0,No,8.0,Balanced,Medium,5.0,No,Neutral,Yes,Yes,,Yes,Yes,High,1.0,Medium,C
19.0,F,Graduate,40000.0,C,73.0,Medium,7.0,,Private,Low,Medium,No,High,Medium,Medium,Positive,High,94.0,No,8.0,,Low,6.0,Yes,Negative,No,No,Auditory,,Yes,Low,3.0,High,C
19.0,M,Graduate,40000.0,C,99.0,Low,10.0,Law,Public,High,Medium,Yes,,Low,,Positive,Low,97.0,Yes,4.0,Unhealthy,High,4.0,Yes,Negative,Yes,,Visual,Yes,No,High,4.0,Low,C
20.0,F,College,50000.0,A,78.0,Low,18.0,,Public,Low,,Yes,Low,High,High,Positive,High,39.0,Yes,9.0,Healthy,Medium,2.0,No,Neutral,No,Yes,,No,No,High,4.0,Medium,B
